Account,Date,Name,Instance Id,Instance Name,YTD Unique,Unique Logins,Total Logins,All Logins
Westend Dealers,1/20/2014,INSTANCELEVEL,Westend Dealers InstD4,Westend Dealers ----MALDIVIS,40000,40000,40000,40000
Ziff-Davis Labs,1/20/2014,INSTANCELEVEL,Ziff-Davis Labs Inst E2,Ziff-Davis Labs -----INDIA,40000,40000,40000,40000
Fedder RP Corp,2/20/2014,INSTANCELEVEL,Fedder RP Corp Inst1,Fedder RP Corp---INDIA,19000,19000,19000,19000
Fedder RP Corp,2/20/2014,INSTANCELEVEL,Fedder RP Corp Inst2,Fedder RP Corp---US,19000,19000,19000,19000
Fedder RP Corp,2/20/2014,INSTANCELEVEL,,Fedder RP Corp---UK,19000,19000,19000,19000
Fedder RP Corp,2/20/2014,INSTANCELEVEL,Fedder RP Corp Inst4,Fedder RP Corp---NZLAND,19000,19000,19000,19000
Fell David H & Company Inc,2/20/2014,INSTANCELEVEL,Fell David H & Comp Inst20 Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Fell David H & Company Inc,2/20/2014,INSTANCELEVEL,Fell David H & Comp Inst21  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Fell David H & Company Inc,2/20/2014,INSTANCELEVEL,Fell David H & Comp Inst22  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Fell David H & Company Inc,2/20/2014,INSTANCELEVEL,Fell David H & Comp Inst23  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Ferrara Foods & Confections,2/20/2014,INSTANCELEVEL,Ferrara Foods & Conf Inst30  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Ferrara Foods & Confections,2/20/2014,INSTANCELEVEL,Ferrara Foods & Conf Inst31  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Ferrara Foods & Confections,2/20/2014,INSTANCELEVEL,Ferrara Foods & Conf Inst32  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Ferrara Foods & Confections,2/20/2014,INSTANCELEVEL,Ferrara Foods & Conf Inst33  Instance ID data for Adoption,Fell David H & Company Inc Testing with Bigger Name for Adoption,19000,19000,19000,19000
Galbreath Co,2/20/2014,INSTANCELEVEL,Galbreath Co Inst40,Galbreath Co ---UK,19000,19000,19000,19000
Galbreath Co,2/20/2014,INSTANCELEVEL,Galbreath Co Inst41,Galbreath Co ---US,19000,19000,19000,19000
Galbreath Co,2/20/2014,INSTANCELEVEL,Galbreath Co Inst42,Galbreath Co ---INDIA,19000,19000,19000,19000
Galbreath Co,2/20/2014,INSTANCELEVEL,Galbreath Co Inst43,Galbreath Co ---NZLAND,19000,19000,19000,19000
Halcyon Assoc,2/20/2014,INSTANCELEVEL,Halcyon Assoc Inst50,Halcyon Assoc ----INDIA,19000,19000,19000,19000
Hardy James G & Co,2/20/2014,INSTANCELEVEL,Hardy James G & Co Inst60,Hardy James G & Co ---INDIA,19000,19000,19000,19000
IBIS Systems Inc.,2/20/2014,INSTANCELEVEL,IBIS Systems Inc Inst70,IBIS Systems Inc. ----SWTLAND,19000,19000,19000,19000
Lafferty RF & Co Inc,2/20/2014,INSTANCELEVEL,Lafferty RF & Co Inc Inst80,Lafferty RF & Co Inc ----AUST,19000,19000,19000,19000
O-Cel-O Div General Mills Inc.,2/20/2014,INSTANCELEVEL,O-Cel-O Div General Inst90,O-Cel-O Div General Mills Inc. ----LONDON,19000,19000,19000,19000
